Abbreviation,Country_Arrivel,Year,Value
AUS,China,2016,1208300
AUS,United Kingdom,2016,715500
AUS,Japan,2016,417900
AUS,New Zealand,2016,1345200
AUS,United States,2016,716500
AUS,Singapore,2016,429700
AUS,India,2016,262300
